seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_fifo_500,1050,65,500,0.0045,0.2661,0.0035,0.9825,0.07
0,bounded_substrate_fifo_500,1100,68,500,0.0045,0.2786,0.0035,0.9825,0.07
0,bounded_substrate_fifo_500,1150,68,500,0.0045,0.2861,0.0035,0.9825,0.07
0,bounded_substrate_fifo_500,1195,68,500,0.0045,0.2946,0.0035,0.9825,0.07
0,bounded_substrate_reservoir_1000,0,0,1000,0.011,0.0,0.0,0.0,0.9
0,bounded_substrate_reservoir_1000,50,48,1000,0.011,0.1655,0.007,0.115,0.9
0,bounded_substrate_reservoir_1000,100,84,1000,0.011,0.2796,0.0125,0.225,0.9
0,bounded_substrate_reservoir_1000,150,121,1000,0.011,0.3931,0.018,0.225,0.9
0,bounded_substrate_reservoir_1000,200,162,1000,0.011,0.5262,0.024,0.3575,0.8975
0,bounded_substrate_reservoir_1000,250,188,1000,0.011,0.6142,0.027,0.5025,0.8975
0,bounded_substrate_reservoir_1000,300,211,1000,0.011,0.6942,0.031,0.5525,0.8975
0,bounded_substrate_reservoir_1000,350,230,1000,0.011,0.7727,0.0345,0.56,0.8975
0,bounded_substrate_reservoir_1000,400,253,1000,0.011,0.8518,0.0375,0.56,0.8975
0,bounded_substrate_reservoir_1000,450,274,1000,0.011,0.9193,0.0405,0.6075,0.8975
0,bounded_substrate_reservoir_1000,500,291,1000,0.011,0.9748,0.042,0.665,0.895
0,bounded_substrate_reservoir_1000,550,301,1000,0.011,1.0158,0.043,0.665,0.895
0,bounded_substrate_reservoir_1000,600,318,1000,0.011,1.0803,0.046,0.7,0.895
0,bounded_substrate_reservoir_1000,650,336,1000,0.011,1.1468,0.0495,0.7025,0.895
0,bounded_substrate_reservoir_1000,700,349,1000,0.011,1.1953,0.051,0.7175,0.895
0,bounded_substrate_reservoir_1000,750,362,1000,0.011,1.2383,0.0545,0.7175,0.895
0,bounded_substrate_reservoir_1000,800,376,1000,0.011,1.2923,0.056,0.7325,0.895
0,bounded_substrate_reservoir_1000,850,384,1000,0.011,1.3259,0.0565,0.7325,0.895
0,bounded_substrate_reservoir_1000,900,398,1000,0.011,1.3774,0.059,0.735,0.895
0,bounded_substrate_reservoir_1000,950,413,1000,0.011,1.4269,0.061,0.7575,0.895
0,bounded_substrate_reservoir_1000,1000,425,1000,0.011,1.4799,0.062,0.765,0.895
0,bounded_substrate_reservoir_1000,1050,436,1000,0.011,1.5269,0.062,0.765,0.895
0,bounded_substrate_reservoir_1000,1100,452,1000,0.011,1.5919,0.0635,0.7825,0.8925
0,bounded_substrate_reservoir_1000,1150,463,1000,0.011,1.6339,0.0645,0.795,0.8925
0,bounded_substrate_reservoir_1000,1195,474,1000,0.011,1.6749,0.066,0.805,0.8925
0,bounded_substrate_fifo_1000,0,0,1000,0.0035,0.0,0.0,0.0,0.1375
0,bounded_substrate_fifo_1000,50,21,1000,0.0035,0.0715,0.0025,0.7375,0.1375
0,bounded_substrate_fifo_1000,100,30,1000,0.0035,0.1065,0.003,0.8575,0.1375
0,bounded_substrate_fifo_1000,150,35,1000,0.0035,0.1295,0.0035,0.89,0.1375
